"","gene_ensembl","gene_symbol","cell_type","DX","baseMean","log2fc","lfcSE","stat","pvalue","padj"
"102","ENSG00000204193","TXNDC8","PyrL2n3","SCZ",10.2503686819064,21.942385168201,3.71644987552469,5.90412514714818,3.54522974478536e-09,6.29854379532929e-06
"103","ENSG00000117971","CHRNB4","PyrL5n6","MDD",10.5013019679129,-24.5170643112669,3.08904332550973,-7.93678227456432,2.07493817601654e-15,1.47455481478615e-11
"104","ENSG00000124614","RPS10","PyrL5n6","MDD",34.6118904026423,-6.7751755892254,1.53231477365919,-4.42152990083506,9.80044988515399e-06,0.0198991134596705
"105","ENSG00000140287","HDC","PyrL5n6","MDD",13.0154443978199,24.6555536294009,3.38061668613771,7.29321183632012,3.02651649463323e-13,1.43386263127407e-09
"106","ENSG00000146233","CYP39A1","PyrL5n6","MDD",10.4217322653156,21.5344151510078,2.60620067098182,8.26276172467383,1.42340193798335e-16,2.02308117445574e-12
"107","ENSG00000186510","CLCNKA","PyrL5n6","MDD",3.06106801302391,20.5303565173525,4.13833060209126,4.96102377779526,7.01226064973623e-07,0.00166108767691168
"108","ENSG00000215262","KCNU1","PyrL5n6","MDD",22.9289945305362,13.3785451618279,2.2057018287855,6.06543685426164,1.31595466431443e-09,3.7407327287802e-06
"109","ENSG00000231824","AKAIN1","PyrL5n6","MDD",9.50694589300149,19.4941812313967,3.19254303396817,6.10616083291019,1.02056170197479e-09,3.62631086754192e-06
"110","ENSG00000016402","IL20RA","PyrL5n6","BD",8.43102764790357,-20.114766691631,2.83238681340812,-7.10170185668516,1.23229853415546e-12,5.83821968865052e-09
"111","ENSG00000100987","VSX1","PyrL5n6","BD",12.0852637403903,-25.080468072368,2.68434513085407,-9.34323525842156,9.34345498170976e-21,1.32798525655041e-16
"112","ENSG00000140287","HDC","PyrL5n6","BD",13.0154443978199,30,3.35929949576892,8.93043327568303,4.24343542650664e-19,3.01559738584694e-15
"113","ENSG00000146233","CYP39A1","PyrL5n6","BD",10.4217322653156,18.0373670718322,2.61986437935819,6.88484763331566,5.7849418966117e-12,2.05553447941355e-08
"114","ENSG00000164756","SLC30A8","PyrL5n6","BD",21.1936711276776,7.40846221393767,1.62129552759671,4.56947057944424,4.88957796437193e-06,0.00992793880108832
"115","ENSG00000172320","OR5A1","PyrL5n6","BD",11.4795221834439,11.3684982845306,2.60422348908361,4.36540808889293,1.26885646940693e-05,0.0225428212496009
"116","ENSG00000186510","CLCNKA","PyrL5n6","BD",3.06106801302391,22.0030323647507,4.11965540974659,5.34098854789998,9.24410967519906e-08,0.000218977551356007
"117","ENSG00000231824","AKAIN1","PyrL5n6","BD",9.50694589300149,19.4290363947243,3.18255055225865,6.10486340301351,1.02888637053518e-09,2.92471239688329e-06
"118","ENSG00000029559","IBSP","PyrL5n6","SCZ",3.25655946693962,-24.4013136826954,4.13990091640847,-5.89417818817376,3.76550666822254e-09,1.07038292550894e-05
"119","ENSG00000087245","MMP2","PyrL5n6","SCZ",13.725154332052,-25.3487799215353,2.27304569206164,-11.1519007339198,7.0092879344978e-29,9.96230094130173e-25
"120","ENSG00000122420","PTGFR","PyrL5n6","SCZ",24.8823769430562,9.65367804202216,2.1771871767877,4.43401382524471,9.24946909149661e-06,0.0146743398192682
"121","ENSG00000124507","PACSIN1","PyrL5n6","SCZ",10403.1234676514,0.35128105937046,0.0792418910896395,4.43302216214258,9.29213103309743e-06,0.0146743398192682
"122","ENSG00000129244","ATP1B2","PyrL5n6","SCZ",2103.38969855622,0.623038906919892,0.15013669737623,4.14981092436454,3.32750018246479e-05,0.03637981545644
"123","ENSG00000140287","HDC","PyrL5n6","SCZ",13.0154443978199,29.4311067830933,3.37156356832392,8.72921604077131,2.56443952796129e-18,9.11209475272846e-15
"124","ENSG00000146233","CYP39A1","PyrL5n6","SCZ",10.4217322653156,23.0771837438281,2.60487382808182,8.85923283310106,8.05669431008389e-19,3.81699320764075e-15
"125","ENSG00000150556","LYPD6B","PyrL5n6","SCZ",23.8762499131816,7.52082269004592,1.74328632885425,4.3141637524278,1.60208167979904e-05,0.0227703869149837
"126","ENSG00000159217","IGF2BP1","PyrL5n6","SCZ",13.7184054516741,9.66038187600011,2.27281876704907,4.25039691507948,2.13392029901688e-05,0.0252745076749391
"127","ENSG00000166501","PRKCB","PyrL5n6","SCZ",14864.0663125757,-0.308432836042116,0.0680938951895452,-4.52952258324431,5.91171155692562e-06,0.0140038593930973
"128","ENSG00000178104","PDE4DIP","PyrL5n6","SCZ",9722.13689399901,0.356659714521734,0.0837943148248214,4.25637127372375,2.07771572423826e-05,0.0252745076749391
"129","ENSG00000198805","PNP","PyrL5n6","SCZ",17.9302612724777,-8.70017984032401,1.95282866391568,-4.45516803449566,8.38275123205102e-06,0.0146743398192682
"130","ENSG00000231824","AKAIN1","PyrL5n6","SCZ",9.50694589300149,30,3.17247617135909,9.45633580193229,3.18923469969694e-21,2.26642963933963e-17
"131","ENSG00000005381","MPO","SST","MDD",15.5343137396425,-22.390463986755,2.63854185423734,-8.48592337119734,2.14012446453686e-17,4.34536985920891e-14
"132","ENSG00000079689","SCGN","SST","MDD",19.5972436461999,-26.3091470714031,2.74386194037836,-9.58836400776609,8.94927230121277e-22,6.35980036085686e-18
"133","ENSG00000102524","TNFSF13B","SST","MDD",33.7415731261439,7.87560049619937,1.89997518180364,4.14510703698933,3.39655014372121e-05,0.0209892031272651
"134","ENSG00000104140","RHOV","SST","MDD",23.4279350930766,-14.0759224808656,2.95513664470388,-4.76320528395603,1.9054182249291e-06,0.00135408546154587
"135","ENSG00000116874","WARS2","SST","MDD",48.7382866113327,-8.89356023275327,1.55242390827939,-5.72882199592656,1.01130443728164e-08,7.98537220393554e-06
"136","ENSG00000118972","FGF23","SST","MDD",25.5182907854096,-22.4717966517769,2.92114469148238,-7.69280505594305,1.43943750486163e-14,2.27319169517759e-11
"137","ENSG00000122679","RAMP3","SST","MDD",4.76625933072426,-24.1277042103642,4.11445005718103,-5.86413831132878,4.5147104285663e-09,3.77456348948311e-06
"138","ENSG00000126010","GRPR","SST","MDD",23.0589187215808,-26.3851393116895,2.98054697445043,-8.85244874107533,8.56196602133506e-19,2.02818705102059e-15
"139","ENSG00000126259","KIRREL2","SST","MDD",16.9960789455777,22.5342641829203,2.86183735259072,7.87405481395397,3.43328407112861e-15,6.09965831286887e-12
"140","ENSG00000132854","KANK4","SST","MDD",20.3339484448801,22.8660336702788,2.40827132353737,9.49479132471344,2.2065287519104e-21,1.04537977169675e-17
"141","ENSG00000134443","GRP","SST","MDD",2.63740542796148,16.4642870421572,4.15049963708719,3.96682049916086,7.28378070437738e-05,0.0414097500605263
"142","ENSG00000137252","HCRTR2","SST","MDD",7.85228086018981,-24.3945666263601,3.50714111862066,-6.95568435978826,3.5085461992795e-12,4.15558059419663e-09
"143","ENSG00000143228","NUF2","SST","MDD",17.9607932776719,26.3144703197586,2.55943480647417,10.2813598741392,8.55124412464617e-25,1.21538832743596e-20
"144","ENSG00000143816","WNT9A","SST","MDD",11.2746686556837,-17.8193233270417,3.16739967993657,-5.62585247448107,1.84594059000212e-08,1.38086071608948e-05
"145","ENSG00000145888","GLRA1","SST","MDD",25.3377937673318,21.9032266045839,2.4038121035181,9.11187133658551,8.09730408142492e-20,2.30173965818585e-16
"146","ENSG00000148488","ST8SIA6","SST","MDD",39.3574123359377,-8.01996526086345,1.98149572376074,-4.04743001193164,5.17830581951422e-05,0.0306663585886482
"147","ENSG00000163286","ALPG","SST","MDD",7.77697181322659,25.4309932791312,4.14468662554766,6.13580605162662,8.47284764055765e-10,7.52653646970287e-07
"148","ENSG00000169271","HSPB3","SST","MDD",13.967098480884,-30,4.14088305080638,-7.2448315086218,4.32977126984308e-13,5.59445809620725e-10
"149","ENSG00000172380","GNG12","SST","MDD",29.8137602146228,-7.70502497768277,1.82403302663593,-4.22416966423748,2.39823333060239e-05,0.0154936774217508
