"","gene_ensembl","gene_symbol","cell_type","DX","log2fc","AveExpr","t","pvalue","padj","B"
"1","ENSG00000130294","KIF1A","PVALB","MDD",0.109569657616282,11.7239782258157,18.610048284831,2.47389477622427e-31,1.17204888181585e-27,54.4281256048937
"2","ENSG00000152583","SPARCL1","PVALB","MDD",-0.343452874568534,11.4754451961926,-42.5770417289227,4.27805617285196e-58,6.08040123847449e-54,119.065662551347
"3","ENSG00000197102","DYNC1H1","PVALB","MDD",-0.314457580230611,11.3348099440148,-25.1676685443549,1.44278800725069e-40,1.0253172973527e-36,80.1942521655103
"4","ENSG00000090534","THPO","PVALB","BD",-5.32769073129212,-0.316704261637323,-5.82316683764966,1.06136346041448e-07,0.0015085158862871,6.21768078390573
"5","ENSG00000160229","ZNF66","PVALB","BD",-3.93004986267211,2.29499832089418,-4.84009297359622,5.93399463101306e-06,0.0281132885635296,3.23894562373116
"6","ENSG00000162607","USP1","PVALB","BD",-4.74612628379607,1.65721195307954,-5.44329808098311,5.21579613877535e-07,0.0037066055260207,5.15583617595831
"7","ENSG00000175305","CCNE2","PVALB","BD",-4.83905128574717,-0.761519258914383,-4.62320975365307,1.37535790216732e-05,0.0335662209556981,2.28382857140013
"8","ENSG00000176428","VPS37D","PVALB","BD",-4.89102242213174,0.799147934404331,-4.64630911162773,1.2587428950599e-05,0.0335662209556981,2.45887274783657
"9","ENSG00000184967","NOC4L","PVALB","BD",-4.00251803303832,2.72729341116553,-4.61542100031611,1.41699377847174e-05,0.0335662209556981,2.58070549798134
"10","ENSG00000090534","THPO","PVALB","SCZ",-4.67149439655614,-0.316704261637323,-5.02141536001621,2.89668022351414e-06,0.0137235053389355,3.52230391931611
"11","ENSG00000092010","PSME1","PVALB","SCZ",-3.84312410044643,2.51657986125742,-4.48878043286823,2.29279020724842e-05,0.0455129989651788,2.0662208306379
"12","ENSG00000130294","KIF1A","PVALB","SCZ",0.203716312117029,11.7239782258157,10.0968398899837,4.30170877392897e-16,6.11401868038525e-12,17.540797673662
"13","ENSG00000136856","SLC2A8","PVALB","SCZ",-3.70076526615313,3.40745143373653,-4.39974734532912,3.20220917224926e-05,0.0455129989651788,1.87857321627574
"14","ENSG00000145362","ANK2","PVALB","SCZ",-0.343864988666844,10.6129252964623,-4.51901641124267,2.04523112239983e-05,0.0455129989651788,-0.0751382019285263
"15","ENSG00000152583","SPARCL1","PVALB","SCZ",-0.620939871024161,11.4754451961926,-5.03355119068073,2.75970279442172e-06,0.0137235053389355,-1.05518397486791
